,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,Tax Parcel
925,Independence Wharf,Yes,Financial Office,470 Atlantic Avenue,02210,324022,72.3,82,,"Financial Office, Office, Parking",2001,2081.9,6.4,23416053.9,0.74,0,0.26,15.3,,,0302956000
926,International Village,Yes,College/University,1155-1175 Tremont Street,02115,495301,81.2,Not Available,,College/University,2009,3057.8,6.2,40198773.8,0.53,0.47,,31,,,Not Available
927,IRVING,Municipal,K-12 School,105 Cummins HWY,02131,110370,58.1,91,,K-12 School,1936,387.9,3.5,6412474.2,0.1690102756280875,0.8309897181652598,,,,,Not Available
928,Isabella Stewart Gardner Museum,Yes,Museum,25 Evans Way,02115,70000,165.5,Not Available,,Museum,2011,1021,14.6,11584593.2,0.8,0.2,,47.8,,,Not Available
929,Isabella Stewart Gardner Museum,Yes,Museum,280 the Fenway,02115,63000,102.5,Not Available,,Museum,1903,406.4,6.5,6457128.6,0.23,0.77,,,,The water used in this building is metered through building identified as Portfolio Manager Property ID: 4040564. We only have one water main for the entire campus. ,Not Available
930,Jack Young Company,Yes,Distribution Center,354 Cambridge Street,02134,40000,26.5,Not Available,,"Distribution Center, Multifamily Housing",1920,93.4,2.3,1059917.9,0.8,0.2,,1.8,,,2100675010
931,JACKSON MANN,Municipal,K-12 School,40 Armington St.,02134,207798,158.7,10,,K-12 School,1975,1850.2,8.9,32968337.4,0.06889752897275311,0.9311024768267507,,,,,Not Available
932,Jackson Square Limited Partnership,Yes,Supermarket/Grocery Store,301 Centre Street,02130,46660,218.2,87,,"Parking, Supermarket/Grocery",1996,815.6,17.5,10182207.4,0.62,0.38,,20.8,,,1001850010
933,Jaharis Family Center for  Biological and Nutrition Sciences,Yes,Laboratory,150 Harrison Avenue,02111,179423,387.3,Not Available,,Laboratory,2002,5469.7,30.5,69496031.3,0.41,0,0.59,62.4,,,0305104000
934,Jamaica Plain,Yes,Multifamily Housing,48 School Street,02130,156000,71.5,84,,"Multifamily Housing, Parking",1920,686.4,4.4,11151154.2,0.19,0.81,,58,,,1101481000110232700011023280001102329000110233000011023310001102332000110234200014010950001401097000140429800014042990001904778000
935,Jamaica Plain Branch,Municipal,Library,12 Sedgewick St,02130,9252,86.5,Not Available,,Library,2000,50.8,5.5,799843.7,0.23735097244624168,0.7626490188020485,,,,,Not Available
936,Jamaicaway Tower and Townhouses,Yes,Multifamily Housing,111 Perkins Street,02130,445701,60.8,73,,Multifamily Housing,1965,2190.8,4.9,27083158.4,0.31,0.01,,22.7,,,1002149000
937,Jamestown - 1 Design Center Boston,Yes,Distribution Center,1 Design Center Place,02210,495668,76.5,Not Available,,"Distribution Center, Office, Restaurant",1985,2870.1,4.721305389898077,37916572.3,0.52,0.48,,9.1,,Parcel IDs 0602674012 and 0602674018,0602674012 0602674018
938,Jamestown - 21-25 Drydock Ave Boston,Yes,Mixed Use Property,21-25 Drydock Ave,02210,716455,83,Not Available,,"Manufacturing/Industrial, Non-Refrigerated Warehouse, Office, Other",1985,4072.3,4.984821098324389,59474690,0.35,0.65,,7.5,698449,,0602674013
939,Jean Yawkey Center/Marian Hall,Yes,College/University,400R The Fenway,02115,87877,213.6,Not Available,,"College/University, Parking",1954,1280.3,14.6,18771530.7,0.35,0.65,,33.7,,"Building contains gymnasium, fitness center, dining hall, classrooms, office spaces and parking.

Gross square footage includes 33,600 square feet for parking garage.

Between October 2014 and January 2015, we upgraded 413 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 184,000 kWh in these buildings.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",0401847000
940,John Hancock - 601 Congress Street,Yes,Financial Office,601 Congress Street,02210,525642,60.8,97,"2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007, 2006","Data Center, Financial Office, Parking",2004,3054,-0.5735843026242196,31955665.1,0.97,0.03,,11.9,,LEED project ID - 1000005675,0602678701
941,JOKAM,Yes,Office,74 Lawley Street,02122,45724,42.5,98,,Office,1935,129.4,2.8,1944730.7,0.31,0.69,,1.1,,,1602618000
942,Jordan Hall,Yes,College/University,290 Huntington Ave,02115,143000,76.8,Not Available,,College/University,1867,770.7,5.4,10983556.1,0.39,0.61,,13,,,Not Available
943,JP Plaza,Yes,Strip Mall,315 Centre Street,02130,43792,84.1,Not Available,,"Parking, Strip Mall",1991,301.4,6.9,3682763.1,0.66,0.34,,18.8,,,1001850100
944,Judge Baker Children's Center,Yes,Other - Education,53 Parker Hill Ave,02120,72000,96.1,Not Available,,Other - Education,2003,494.5,6.9,6917697.8,0.42,0.58,,14,,,1001439001
945,Julia Martin House: Julia Martin House,Yes,Multifamily Housing,90 Bickford St,02130,44892,56.6,68,,Multifamily Housing,2006,179.5,4,2542577.5,0.4,0.6,,43.5,,Hot water is electrically heated - changed to gas to see benchmarks,1002334010
946,Julie Hall,Yes,Residence Hall/Dormitory,400 The Fenway,02115,53826,78.4,71,,Residence Hall/Dormitory,1958,299.2,5.6,4217759.7,0.41,0.59,,38.7,,"Julie Hall get electricity from MATEP rather than NSTAR.

Between October 2014 and January 2015, we upgraded 144 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 50,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",0401862030
947,Kenmore Abbey,Yes,Multifamily Housing,488 Commonwealth Avenue,02115,199419,58.9,82,,Multifamily Housing,1978,793.6,4,11736591.7,0.33,0.67,,37.7,,,0503924000
948,Kenmore Tower,Yes,Multifamily Housing,566 Commonwealth Avenue,02215,100000,31.7,100,,Multifamily Housing,1980,115.5,1.2,3173993.7,,0.6852880713027248,,42.343,,,Not Available
949,KENNEDY JF,Municipal,K-12 School,7 Bolster St.,02130,49194,66.6,92,,K-12 School,1963,191.2,3.9,3275808.8,0.12033938977146652,0.8796606292580326,,,,,Not Available
950,KENNEDY PJ,Municipal,K-12 School,343 Saratoga St.,02128,36190,38.2,100,,K-12 School,1926,86.6,2.4,1383320.2,0.21760709342638096,0.782392916332748,,,,,Not Available
951,KENNEY,Municipal,K-12 School,19 Oakton Ave.,02122,37578,39.3,99,,K-12 School,1926,93.5,2.5,1475145.4,0.23478722572025781,0.7652127475230578,,,,,Not Available
952,KENT,Municipal,K-12 School,50 Bunker Hill St.,02129,93350,85.2,68,,K-12 School,1972,474.9,5.1,7957879.5,0.15042697341672487,0.8495730264538435,,,,,Not Available
953,Keystone Apartments,Yes,Multifamily Housing,151 Hallet Street,02124,279125,59.8,Not Available,,"Multifamily Housing, Parking",1979,1057.5,3.8,16705040.5,0.23,0.77,,27.9,,,1604327000
954,KILMER,Municipal,K-12 School,35 Baker St.,02132,25068,54.9,95,,K-12 School,1935,87.9,3.5,1375707.9,0.24700585349549858,0.752994150225495,,,,,Not Available
955,KING,Municipal,K-12 School,77 Lawrence Ave.,02121,113462,48.4,96,,K-12 School,1937,333.5,2.9,5487007.7,0.17554332938151335,0.8244566797126965,,,,,Not Available
956,King Terminal,Yes,Office,60 K Street,02127,222018,67.7,Not Available,,Office,1900,1164.3,5.2,15031116.8,0.49,0.37,,6.9,,,0603405060
957,Kneeland Street Station,Yes,Energy/Power Station,165 Kneeland Street,02111,169000,34.2,Not Available,,Energy/Power Station,1930,559.9,3.3,5787366,1,,,10,,"The facility is a steam generating plant part of the Veolia heating and cooling district in Boston.

Energy and water consumption entries for the building were made based on the percent of electricity and water used for the building itself (lighting, excluding resources utilized in the steam production process as follows:
- Electricity - use by the building was estimated to be 5% of total electricity purchased per year based on estimates made for buildings of similar size.
- Water - use by the building was estimated to 1% of total usage based on steam production records. 
- Steam - 100% of the steam generated at the station is exported to the distribution system or recirculated to support the steam production process. 
- Natural Gas & Oil - 100% of fossil fuels are utilized for the steam production process. ",Not Available
958,La Concha,Yes,Multifamily Housing,1 Forest Place,02119,102891,97.8,42,,Multifamily Housing,1900,618.1,6,10065413,0.19,0.81,,52,,,01301099000802374000080257300012004200001301150000
959,Laconia Condominium Association,Yes,Multifamily Housing,1200 Washington Street,02118,96000,82.2,34,,Multifamily Housing,1944,578.7,6,7891283.5,0.46,0.54,,31.9,,,0306395010
960,Ladies Garment Workers Center,Yes,Other,33 Harrison Ave,02111,60600,7.2,Not Available,,Other,1908,42.4,0.7,438687.3,1,,,13.5,,,Not Available
961,Lafayette City Center,Yes,Office,2 Avenue de Lafayette,02111,611570,65.8,70,,"Office, Retail Store",1984,3845,6.3,40232086.6,0.97,0.03,,5.6,,,0304500200
962,Landfall West Apartments: 401 Border Street,Yes,Multifamily Housing,401 Border St,02128,51620,78.1,45,,Multifamily Housing,1976,256.3,5,4031618.8,0.24,0.76,,38.4,,,0103613000
963,Landmark at Longwood,Yes,Senior Care Community,63 Parket Hill Road,02120,35000,75.7,69,,"Parking, Senior Care Community",2002,256.4,7.3,2650578.1,1,,,75.1,,,1001441000
964,Landmark Center,Yes,Office,401 Park Drive,02215,1003987,85.7,78,"2016, 2015, 2014, 2013","Data Center, Non-Refrigerated Warehouse, Office, Other - Mall, Retail Store",1928,6973.2,6.9,86059819.2,0.64,0.36,,12.9,,,2100077000
965,Landmark Square,Yes,Multifamily Housing,75 Peterborough Street,02115,204157,70.3,89,,"Multifamily Housing, Parking",2000,876.8,4.3,14356634.9,0.18,0.82,,42.6,,,0504311000
966,Langham Court,Yes,Multifamily Housing,26 Worcester St,02118,107340,57.1,83,,"Multifamily Housing, Parking",1991,386.6,3.6,6133521.9,0.23,0.77,,42.2,,,0900660000
967,LATIN,Municipal,K-12 School,78 Louis Pasteur Ave.,02115,336545,67.1,63,,K-12 School,1922,1425.1,4.2,22598381.9,0.2279801953431011,0.7720198124848932,,,,,Not Available
968,LATIN ACADEMY,Municipal,K-12 School,205 Townsend St.,02121,332366,40.8,93,,K-12 School,1926,881.2,2.7,13575393.8,0.2704005077186048,0.7295994864252114,,,,,Not Available
969,Latin Academy I / New Girls Latin Academy,Yes,Multifamily Housing,380 Talbot Avenue,02124,79599,122.8,3,,Multifamily Housing,1930,660.7,8.3,9777549,0.33,0.67,,53.9,,,1704781102
970,Laurel Ridge Rehab and Skilled Care Center,Yes,Residential Care Facility,174 Forest Hill St,02130,38894,136.1,Not Available,,Parking,1960,349,9,5295015.2,0.29,0.71,,84.7,,,1700021000
971,Lavietes Pavilion,Yes,Indoor Arena,45 North Harvard Street,02134,31140,105.7,Not Available,,Indoor Arena,1926,250.4,8,3291191.7,0.32,,0.68,5.1,,,2200533000
972,LBB Apartments,Yes,Multifamily Housing,102 Talbot Avenue,02124,82096,101.5,45,,Multifamily Housing,1920,513.8,6.3,8331747,0.2,0.8,,57.5,,,140219500014021960001402197000140219800014021990001402200000140253100014028030001402804000180090200018009040001800908000
973,LEE,Municipal,K-12 School,155 Talbot Ave.,02124,153460,106.1,50,,K-12 School,1971,946.6,6.2,16281771.5,0.11516384589969217,0.8848361545916548,,2.0005213084842954,,,Not Available
974,Lefavour Hall,Yes,College/University,2 Avenue Louis Pasteur,02115,122900,121.6,Not Available,,College/University,1961,1000.7,8.1,14949374.9,0.32,0.68,,14.3,,"Gas and electric consumption is managed by a shared meter; energy usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0401842000
975,"Legal Sea Foods, LLC",Yes,Distribution Center,1 Seafood Way,02210,75000,228.5,3,,Distribution Center,2003,1212.7,16.2,17139140,0.4,0.6,,230.1,,,0602674000
976,Leventhal House: 40 Wallingford Rd.,Yes,Multifamily Housing,40 Wallingford Rd,02135,158387,95.4,30,,Multifamily Housing,2007,991.9,6.3,15108157.7,0.29,0.71,,55.6,,,2102565010
977,Lewenberg,Municipal,K-12 School,20 Outlook Rd.,02126,120944,54,91,,K-12 School,1930,406.6,3.4,6531993.5,0.2093837625527337,0.7906162434786562,,,,,Not Available
978,LEWIS,Municipal,K-12 School,131 Walnut Ave.,02119,76220,45.3,99,,K-12 School,1912,204.6,2.7,3450534.7,0.14164033185929126,0.8583596561135872,,,,,Not Available
979,LHRRB,Yes,Laboratory,45 Shattuck St,02115,66053,371.4,Not Available,,Laboratory,1977,1729.2,26.2,24532841.4,0.33,,0.25,22,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",0401882000
980,Liberty Mutual Tower,Yes,Office,157 Berkeley Street,02116,757241,91,85,2015,"Office, Parking, Restaurant",2013,5280.3,7,68897206.2,0.54,0.46,,15.6,,,0501149000 0501150000 0501148000
981,Liberty Wharf-Boston Reporting,Yes,Restaurant,250 Northern Ave,02110,75661,482.5,Not Available,,"Office, Parking, Restaurant",2010,2696.7,35.6,36505853.8,0.48,0.52,,155,,,0602673121
982,LILLA FREDRICK,Municipal,K-12 School,264 Columbia Rd.,02121,144008,75.7,42,,K-12 School,2002,760.9,5.3,10898471.3,0.38286757519836745,0.617132392384242,,,,,Not Available
983,Lincoln Halls at Park Drive Condominium,Yes,Multifamily Housing,11-15 Park Drive,02215,52865,84.3,76,,Multifamily Housing,1920,266.2,5,4459149,0.15,0.85,,38.6,,,0504213000
984,Lincoln Plaza,Yes,Multifamily Housing,66-86 Lincoln St,02111,121500,42.5,88,,Multifamily Housing,1950,414.3,3.4,5158351.9,0.62,0.38,,31.9,,,0304304100
985,Lindemann Mental Health Center,Yes,Mental Health Center,31 Staniford Street,02114,225875,125.59,0,0,"Mental Health Center, Other/Specialty Hospital",1970,2040.439,,28368090,0.39,0.61,,,,,
986,Loeb House,Yes,Office,10 Harvard Way,02163,6067,53.7,84,,Office,1940,24.5,4,325520.3,0.29,,0.71,21.7,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Connell, Ludcke, Wyss. Allocation is by GSF.",2200530000
987,Loews Boston Hotel,Yes,Hotel,350 Stuart Street,02116,172000,121.8,42,,Hotel,2004,1498.2,8.7,20956109.7,0.42,0.58,,43.7,,,0401117000
988,Loftman Hall,Yes,College/University,"163, 157, 153 Hemenway Street",02115,53219,78.6,Not Available,,College/University,1909,251.4,4.7,4184895.2,0.16,0.84,,37,,,Not Available
989,Long Island Campus,Municipal,Residence Hall/Dormitory,1 Long Island Rd,02171,300000,4.2,100,,Residence Hall/Dormitory,2000,121.3,0.4,1253657.6,0.9999999298053949,,,,,,Not Available
990,Long Island Firing Range,Municipal,Police Station,Long Island Road,02169,1000,16.8,Not Available,,Police Station,2000,1.6,1.6,16787,1.0000023827962115,,,,,,Not Available
991,Longfellow Place,Yes,Multifamily Housing,5 Longfellow Place,02114,994177,46.8,69,,"Multifamily Housing, Parking",1975,3840.6,3.9,46522112.5,0.67,0.33,,23.8,,"2015-1  Gas - Reduced use due to equipment upgrades/replacements.
2014-1  In 4Q14 50 Staniford garage electric loads re-wired into Longfellow Place in anticipation of sale of 50 Staniford office building which occurred 4/22/15.
2014-2  Assessor's address is 1 4 Longfellow Pl.
2014-3  GFA based upon bldg footprint provided by N. Nadkarni, City of Boston for 2 tower bldgs x 38 floors plus retail tenant sf located in structures outside of the tower buildings.  Assume figure does not include parking.
2014-4  Commercial is 3% of total bldg sq ft so did not break out as separate use.  No ind space is over 5,000 sq ft.
",0300470000
992,Longwood Galleria,Yes,Mixed Use Property,400 Brookline Avenue,02215,292745,147.3,Not Available,,"Hotel, Multifamily Housing, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",1969,3688.8,12.6,43116029.1,0.68,0.11,0.21,69.7,,"This is a mixed-use property consisting of 154 apartments, office space, retail space, food court,  hotel and parking garage.",0401914000
993,Loretto Hall,Yes,Residence Hall/Dormitory,420 The Fenway,02115,57190,72.3,81,,Residence Hall/Dormitory,1964,263.9,4.6,4135486,0.24,0.76,,31.2,,"Between October 2014 and January 2015, we upgraded 267 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 85,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",0401847000
994,Lovejoy Wharf,Yes,Office,160 N. Washington St. ,02144,234641,58.5,85,,Office,2015,1205.3,5.1,13731964.6,0.79,0.21,,9.6,,"Used defaults for Weekly Operating Hours, Number of Workers on Main Shift, and Number of Computers ",0303060001
995,Lower Mills Branch,Municipal,Library,23 Richmond St,02124,9940,123.6,Not Available,,Library,2000,80.1,8.1,1228917.6,0.2770874141602333,0.7229126120091371,,,,,Not Available
996,Ludcke House,Yes,Office,690 Soldiers Field Road,02163,9611,36.7,94,,Office,1926,27.1,2.8,352431.3,0.35,,0.65,21.9,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Connell, Wyss. Allocation is by GSF.",2200530000
997,LYNDON,Municipal,K-12 School,170 Russett Rd.,02132,24708,59.5,94,,K-12 School,1028,91,3.7,1469152.6,0.2015123656997918,0.7984876432169129,,,,,Not Available
998,LYON,Municipal,K-12 School,50 Beechcroft St.,02135,13336,87.7,63,,K-12 School,1926,79,5.9,1169657.3,0.3309151150512205,0.6690848868348019,,,,,Not Available
999,MA0011ZZ - CPT JF WILLIAMS CG B,Yes,Office,408 ATLANTIC AV,02210,176013,Not Available,Not Available,"2014, 2012",Office,1918,Not Available,0,Not Available,,,,5.4,,,0302959000
1000,MA0013ZZ - J W MCCORMACK BLDG,Yes,Office,5 POST OFFICE SQ,02109,776861,41.5,96,"2015, 2012, 2011","Courthouse, Office, Parking",1933,2705.3,3.5,32259059.1,0.58,0,0.42,4.6,,,0303881000
1001,MA0050ZZ - MOAKLEY COURTHOUSE,Yes,Courthouse,1 COURTHOUSE WAY,02109,915346,82.5,58,,"Courthouse, Parking",1998,6169,6.7,75537346.4,0.65,0.35,,12,,,0602671010
1002,MA0131ZZ - JFK FEDERAL BUILDING,Yes,Office,15 NEW SUDBURY STREET,02203,971779,76,Not Available,"2012, 2011, 2010, 2009, 2005, 2000","Data Center, Office, Parking",1966,6044.4,6.2,73870328,0.51,,0.49,11.2,,,0302605000
1003,MA0153ZZ - TP O'NEILL FED BLDG,Yes,Office,10 CAUSEWAY STREET,02222,773445,Not Available,Not Available,"2014, 2012, 2011, 2005, 2000","Office, Parking",1986,Not Available,0,Not Available,,,,5.9,,,0301920000
1004,MA036_Avalon Exeter,Yes,Multifamily Housing,77 Exeter Street,02116,268850,41.5,86,,Multifamily Housing,2014,867.7,3.2,11161277.9,0.56,0.44,,19.8,,Building first occupied April 2014,0401037085
1005,MA040_AVA Back Bay,Yes,Multifamily Housing,790 Boylston Street,02199,291222,92.5,43,,Multifamily Housing,1968,1853.9,6.4,26936226.1,0.09,0.03,0.87,28.8,,,0401037010
1006,MA041_Avalon Prudential Center 2,Yes,Multifamily Housing,780 Boylston Street,02199,287111,97.1,10,,Multifamily Housing,1968,2069.1,7.2,27872154.6,0.26,,0.74,30.5,,,0401037050
1007,MA042_Avalon Prudential Center 1,Yes,Multifamily Housing,770 Boylston Street,02199,286043,96.1,12,,Multifamily Housing,1968,2034.7,7.1,27477660.8,0.25,,0.75,28.6,,,0401037075
1008,Madison Park III,Yes,Multifamily Housing,122 Dewitt Street,02120,193447,46.2,100,,Multifamily Housing,1978,487.9,2.5,8930968.8,0.03,0.97,,45,,,090231000009023440000902345000090238000009025000000902506000
1009,Madison Park IV,Yes,Multifamily Housing,1-21 Brook Marshall Road,02120,224398,28.4,100,,Multifamily Housing,1980,345.2,1.5,6368858.4,0.03,0.97,,46,,,0902145000090219700009022300200903070000
1010,Madison Washington,Yes,Office,75 Federal Street,02110,50000,105.6,40,,Office,1980,380.1,7.6,5280946.9,0.43,0.57,,6.5,,"Weekly operating hours, number of computers, number of workers on main shift, percent heated, and percent cooled are all estimates.",0902478000
1011,Main College Building,Yes,College/University,300 The Fenway,02115,198700,128.4,Not Available,,"College/University, Office",1904,1687.1,8.5,25509428.9,0.3,0.7,,10.1,,"Gas and electric consumption is managed by a shared meter; energy usage has been apportioned by square foot. Data center is not separately metered. For information about recent energy efficiency projects, please visit green.simmons.edu.

",0401842000
1012,"Mandarin Oriental, Boston",Yes,Multifamily Housing,772-776 Boylston Street,02199,452336,147.6,1,,"Bar/Nightclub, Hotel, Multifamily Housing, Other - Mall, Restaurant, Social/Meeting Hall",2006,5484.6,12.1,66778608.5,0.55,0.08,0.37,34.3,,,"0401037810,0401037800"
1013,Mandela Homes,Yes,Multifamily Housing,1855 Washington Street,02118,114190,96.7,50,,Multifamily Housing,1900,759.6,6.7,11038622.3,0.36,0.64,,76.3,,,0901150000
1014,MANNING,Municipal,K-12 School,130 Louders Ln.,02130,22336,67.3,91,,K-12 School,1941,93,4.2,1503475.8,0.20085168514185595,0.7991482848809406,,,,,Not Available
1015,Marcus Garvey,Yes,Multifamily Housing,42 John Eliot Square,02119,144181,72.6,61,,Multifamily Housing,1981,702.5,4.9,10471266.8,0.32,0.68,,35.4,,,0903557000
1016,Marian Manor Nursing Home,Yes,Senior Care Community,130 Dorchester Street,02127,201858,133.8,25,,Senior Care Community,1964,1706,8.5,27006436.5,0.23,0.77,,,,,Not Available
1017,Marine Unit,Municipal,Fire Station,50 Battery St,02109,2000,267.6,Not Available,,Fire Station,2000,51.8,25.9,535274.6,0.9999999252720005,,,,,,Not Available
1018,MARSHALL,Municipal,K-12 School,35 Westville St.,02124,141091,72.8,82,,K-12 School,1971,636.6,4.5,10276509.2,0.2023458783066141,0.797654118034556,,,,,Not Available
1019,MASON,Municipal,K-12 School,150 Norfolk Ave.,02119,27642,71,90,,K-12 School,1905,117.5,4.3,1962841,0.15484746854177187,0.8451525531487268,,,,,Not Available
1020,Mason Place: 80 Mason St,Yes,Multifamily Housing,80 Mason St,02111,134915,65.2,74,,Multifamily Housing,1918,571.3,4.2,8793677.2,0.27,0.73,,34.9,,,0304838000
1021,Mason Pool,Municipal,Other - Recreation,159 Norfolk Ave,02119,13300,249.3,Not Available,,Other - Recreation,2000,213.4,16,3315210.4,0.25787525280446755,0.7421247764546106,,,,,Not Available
1022,Mass. Wholesale Food Terminal,Yes,Manufacturing/Industrial Plant,130 Newmarket Square,02118,160000,138.9,Not Available,,"Manufacturing/Industrial, Parking",1952,1722.7,10.8,22224020.6,0.56,0.44,,14.6,,,0801021070
1023,Massachusetts Historical Society,Yes,Museum,1154 Boylston Street,02215,48000,Not Available,Not Available,,Museum,1899,Not Available,0,Not Available,,,,4.3,,,Not Available
1024,MATHER,Municipal,K-12 School,24 Parish St.,02122,76974,54.9,95,,K-12 School,1905,253.3,3.3,4225350.4,0.15654330585221995,0.8434566918284456,,,,,Not Available
1025,MATTAHUNT,Municipal,K-12 School,100 Hebron St.,02126,171035,53,92,,K-12 School,1977,593,3.5,9061637.6,0.28258002284267025,0.7174199842200708,,,,,Not Available
1026,Mattapan Apartments E,Yes,Multifamily Housing,1332-1342 River Street,02136,34222,88.1,50,,Multifamily Housing,1920,198.4,5.8,3016145,0.29,0.71,,10.2,,"Square footage is estimated.
",1811577000 18578000
1027,Mattapan Branch,Municipal,Library,1350 Blue Hill Ave,02126,21000,166.3,Not Available,,Library,2000,230.1,11,3492234.5,0.2926306764336702,0.7073693237495936,,,,,Not Available
1028,Mattapan Campus,Municipal,Urgent Care/Clinic/Other Outpatient,249 River Street,02118,107359,110.1,Not Available,,Urgent Care/Clinic/Outpatient,2000,897.1,8.4,11817744.3,0.5225447570396323,0.4774552216365012,,,,,Not Available
1029,Maverick Landing II,Yes,Multifamily Housing,115 Sumner Street,02128,50000,106,31,,Multifamily Housing,1900,312.2,6.2,5301777.7,0.13,0.87,,56.7,,,0105402010
1030,McArdle Bridge Tender House,Municipal,Other - Public Services,500 Meridian St,02128,3024,173.9,Not Available,,Other - Public Services,2000,35.7,11.8,525829.8,0.7007894950038966,,,,,,Not Available
1031,McArthur Hall,Yes,Residence Hall/Dormitory,47A Harvard Way,02163,107673,83.2,71,,Residence Hall/Dormitory,1999,671.8,6.2,8960833.1,0.28,,0.72,22.8,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",2200530000
1032,McBride House/St Cecilia's: StC-108 Kilmarnock st,Yes,Multifamily Housing,108 Kilmarnock Street,02115,80731,67.8,71,,Multifamily Housing,1995,393.1,4.9,5474438.5,0.43,0.57,,46.8,,2 seperate buildings with shared water meter.,0504281010
1033,McCollum Center,Yes,Social/Meeting Hall,47 Harvard Way,02163,18925,69.6,Not Available,,Social/Meeting Hall,1969,104.7,5.5,1316743.8,0.43,,0.57,23.1,,"Steam usage is allocated as 19% of the meter shared with Esteves. Allocation is by GSF. When Esteves was under construction, McCollum was being heated from McArthur.

Water is allocated by gross square footage for this property, and does not represent actual usage.",2200530000
1034,McCormack Building,Yes,State Office Building,1 Ashburton Place,02108,800000,107.85,0,0,"State Office Building, Office",1975,7357.209,,86280640,0.67,0.33,,,,,
1035,McCulloch Hall,Yes,Residence Hall/Dormitory,44 Harvard Way,02163,51821,68.9,72,,Residence Hall/Dormitory,1926,285.6,5.5,3570973.8,0.45,,0.55,22.4,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",2200530000
1036,MCKAY,Municipal,K-12 School,122 Cottage St.,02128,79082,39.7,97,,K-12 School,1926,212.1,2.7,3137483,0.331821108831506,0.668178899021923,,0.9357375888318454,,,Not Available
1037,MCKINLEY MACKEY,Municipal,K-12 School,90 Warren Ave.,02116,78258,56.5,94,,K-12 School,1959,265.1,3.4,4422135.5,0.1566293027429847,0.843370708541156,,,,,Not Available
1038,MCKINLEY MILMORE,Municipal,K-12 School,97 Peterborough St.,02215,19819,68.6,93,,K-12 School,1929,80.9,4.1,1359052.6,0.14742081358734752,0.8525792159847234,,,,,Not Available
1039,MCKINLEY ST MARYS,Municipal,K-12 School,50 St. Marys St.,02215,17299,51.4,99,,K-12 School,1923,54,3.1,889714.2,0.17456643942515473,0.8254335998571226,,,,,Not Available
1040,McNamara House,Yes,Multifamily Housing,210 Everett Street,02134,63538,63.9,97,2015,Multifamily Housing,1981,241.4,3.8,4062184.5,0.14,0.86,,56.8,,,Not Available
1041,McNamara House,Yes,Multifamily Housing,69 Holton Street,02134,63538,62.8,Not Available,,"Multifamily Housing, Parking",1981,241.9,3.8,3989122.6,0.17,0.83,,55.2,,,Not Available
1042,Medical Area Total Energy Plant,Yes,Energy/Power Station,474 Brookline Avenue,02215,259500,103.4,Not Available,,Energy/Power Station,1980,1940.9,7.5,26819999.3,0.23,,0.69,3.5,,"MATEP generates steam, chilled water and electricity from the on-site combustion of natural gas and fuel oil for distribution to customers and to supply the MATEP building with steam for space heating, chilled water for space cooling, and electricity for lighting and the operation of equipment not related to energy generation (the MATEP building is analogous to a MATEP ""customer""). MATEP also purchases electricity. However, all of the purchased electric power is either consumed by equipment used to generate energy (i.e. chillers) or is passed directly on to customers. Building energy use is calculated based on estimated equipment loads.

MATEP uses water supplied by the Boston Water & Sewer Commission/MWRA to produce boiler feed and chilled water, exhaust waste heat to the atmosphere via evaporation, and operate and cool energy generation equipment. A small portion of this water is also used to supply the building itself for sanitary purposes. Building water use is estimated.",0401930000
1043,MEEI - 325 Cambridge St,Yes,Office,325 Cambridge St,02114,39000,143.4,3,,Office,1920,541.2,13.9,5594434.4,1,,,115.1,,,0300438010
1044,MEEI - Main building,Yes,Hospital (General Medical & Surgical),243 Charles Street,02114,389552,Not Available,Not Available,,Hospital (General Medical & Surgical),1973,Not Available,Not Available,Not Available,,,,,,,0300381001
